month,trade,seasonal_index,base_unpaid_hours,modeled_unpaid_scope_hours,assumed_rate_usd,rate_source,modeled_creep_loss_usd,late_pay_factor,late_pay_factor_source,modeled_late_pay_drag_usd,modeled_total_leak_usd,formula
2025-09,web_design,1.05,3.75,3.9,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",410,0.18,modeled_prior_not_a_survey,74,484,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,web_design,1.1,3.75,4.1,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",430,0.18,modeled_prior_not_a_survey,77,507,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,web_design,1.15,3.75,4.3,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",452,0.18,modeled_prior_not_a_survey,81,533,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,web_design,0.9,3.75,3.4,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",357,0.18,modeled_prior_not_a_survey,64,421,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,web_design,0.85,3.75,3.2,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",336,0.18,modeled_prior_not_a_survey,60,396,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,web_design,0.95,3.75,3.6,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",378,0.18,modeled_prior_not_a_survey,68,446,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,web_design,1.0,3.75,3.8,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",399,0.18,modeled_prior_not_a_survey,72,471,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,web_design,1.0,3.75,3.8,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",399,0.18,modeled_prior_not_a_survey,72,471,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,web_design,1.05,3.75,3.9,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",410,0.18,modeled_prior_not_a_survey,74,484,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,web_design,1.0,3.75,3.8,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",399,0.18,modeled_prior_not_a_survey,72,471,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,web_design,1.05,3.75,3.9,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",410,0.18,modeled_prior_not_a_survey,74,484,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,web_design,0.9,3.75,3.4,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",357,0.18,modeled_prior_not_a_survey,64,421,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,graphic_design,1.05,2.95,3.1,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",232,0.17,modeled_prior_not_a_survey,39,271,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,graphic_design,1.1,2.95,3.2,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",240,0.17,modeled_prior_not_a_survey,41,281,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,graphic_design,1.15,2.95,3.4,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",255,0.17,modeled_prior_not_a_survey,43,298,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,graphic_design,0.9,2.95,2.7,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",202,0.17,modeled_prior_not_a_survey,34,236,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,graphic_design,0.85,2.95,2.5,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",188,0.17,modeled_prior_not_a_survey,32,220,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,graphic_design,0.95,2.95,2.8,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",210,0.17,modeled_prior_not_a_survey,36,246,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,graphic_design,1.0,2.95,3.0,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",225,0.17,modeled_prior_not_a_survey,38,263,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,graphic_design,1.0,2.95,3.0,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",225,0.17,modeled_prior_not_a_survey,38,263,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,graphic_design,1.05,2.95,3.1,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",232,0.17,modeled_prior_not_a_survey,39,271,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,graphic_design,1.0,2.95,3.0,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",225,0.17,modeled_prior_not_a_survey,38,263,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,graphic_design,1.05,2.95,3.1,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",232,0.17,modeled_prior_not_a_survey,39,271,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,graphic_design,0.9,2.95,2.7,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",202,0.17,modeled_prior_not_a_survey,34,236,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,copywriting,1.05,2.95,3.1,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",264,0.15,modeled_prior_not_a_survey,40,304,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,copywriting,1.1,2.95,3.2,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",272,0.15,modeled_prior_not_a_survey,41,313,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,copywriting,1.15,2.95,3.4,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",289,0.15,modeled_prior_not_a_survey,43,332,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,copywriting,0.9,2.95,2.7,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",230,0.15,modeled_prior_not_a_survey,34,264,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
