archetype_id,trade,request_code,request_label,change_type,hours_low,hours_mid,hours_high,rate_usd,rate_source,fee_low_usd,fee_mid_usd,fee_high_usd,date_shift_days,absorb_unpaid_risk,default_move,pause_if_unsigned,fee_formula
SCA-001,web_design,extra_page,Add one more page / screen,add,2.6,3.5,4.7,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",273,368,494,2,low,change_order,no,round(hours * rate_usd)
SCA-002,web_design,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",315,420,567,2,med,change_order,no,round(hours * rate_usd)
SCA-003,web_design,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",472,630,850,-3,med,change_order,yes,round(hours * rate_usd)
SCA-004,web_design,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",231,315,430,2,low,change_order,no,round(hours * rate_usd)
SCA-005,web_design,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",788,1050,1418,8,high,change_order,yes,round(hours * rate_usd)
SCA-006,web_design,cms_blog,Add a blog / CMS after a static sale,add,6.9,9.2,12.4,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",724,966,1302,4,high,change_order,yes,round(hours * rate_usd)
SCA-007,web_design,auth_login,Add member login / accounts,add,13.8,18.4,24.8,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",1449,1932,2604,8,high,change_order,yes,round(hours * rate_usd)
SCA-008,web_design,extra_language,Second language of all copy,add,5.2,7.0,9.5,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",546,735,998,4,med,change_order,yes,round(hours * rate_usd)
SCA-009,web_design,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",514,682,924,4,med,change_order,yes,round(hours * rate_usd)
SCA-010,web_design,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",158,210,284,0,low,log_only,no,round(hours * rate_usd)
SCA-011,web_design,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",273,368,494,2,low,change_order,no,round(hours * rate_usd)
SCA-012,web_design,on_site_day,Add an on-site day,add,6.0,8.0,10.8,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",630,840,1134,4,high,change_order,yes,round(hours * rate_usd)
SCA-013,web_design,training_call,Teach their staff the system,add,1.9,2.5,3.4,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",200,262,357,0,low,log_only,no,round(hours * rate_usd)
SCA-014,web_design,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",315,420,567,2,med,change_order,no,round(hours * rate_usd)
SCA-015,web_design,seo_pack,On-page SEO not in the original scope,add,3.8,5.0,6.8,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",399,525,714,2,med,change_order,no,round(hours * rate_usd)
SCA-016,web_design,print_adapt,Adapt the digital work to print sizes,add,3.4,4.5,6.1,105,"WhatShouldICharge 2026 median, Web Developers $105/hr",357,472,640,2,med,change_order,no,round(hours * rate_usd)
SCA-017,graphic_design,extra_page,Add one more page / screen,add,2.6,3.5,4.7,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",195,262,352,2,low,change_order,no,round(hours * rate_usd)
SCA-018,graphic_design,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",225,300,405,2,med,change_order,no,round(hours * rate_usd)
SCA-019,graphic_design,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",338,450,608,-3,med,change_order,yes,round(hours * rate_usd)
SCA-020,graphic_design,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",165,225,308,2,low,change_order,no,round(hours * rate_usd)
SCA-021,graphic_design,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",562,750,1012,8,high,change_order,yes,round(hours * rate_usd)
SCA-022,graphic_design,cms_blog,Add a blog / CMS after a static sale,add,1.8,2.4,3.2,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",135,180,240,0,low,log_only,no,round(hours * rate_usd)
SCA-023,graphic_design,auth_login,Add member login / accounts,add,3.0,4.0,5.4,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",225,300,405,2,med,change_order,no,round(hours * rate_usd)
SCA-024,graphic_design,extra_language,Second language of all copy,add,5.2,7.0,9.5,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",390,525,712,4,med,change_order,yes,round(hours * rate_usd)
SCA-025,graphic_design,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",368,488,660,4,med,change_order,yes,round(hours * rate_usd)
SCA-026,graphic_design,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",112,150,202,0,low,log_only,no,round(hours * rate_usd)
SCA-027,graphic_design,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",195,262,352,2,low,change_order,no,round(hours * rate_usd)
SCA-028,graphic_design,on_site_day,Add an on-site day,add,6.0,8.0,10.8,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",450,600,810,4,high,change_order,yes,round(hours * rate_usd)
SCA-029,graphic_design,training_call,Teach their staff the system,add,1.9,2.5,3.4,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",142,188,255,0,low,log_only,no,round(hours * rate_usd)
SCA-030,graphic_design,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",225,300,405,2,med,change_order,no,round(hours * rate_usd)
SCA-031,graphic_design,seo_pack,On-page SEO not in the original scope,add,3.8,5.0,6.8,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",285,375,510,2,med,change_order,no,round(hours * rate_usd)
SCA-032,graphic_design,print_adapt,Adapt the digital work to print sizes,add,3.4,4.5,6.1,75,"WhatShouldICharge 2026 median, Graphic Designers $75/hr",255,338,458,2,med,change_order,no,round(hours * rate_usd)
SCA-033,copywriting,extra_page,Add one more page / screen,add,2.1,2.8,3.8,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",178,238,323,0,low,log_only,no,round(hours * rate_usd)
SCA-034,copywriting,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",255,340,459,2,med,change_order,no,round(hours * rate_usd)
SCA-035,copywriting,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",382,510,688,-3,med,change_order,yes,round(hours * rate_usd)
SCA-036,copywriting,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",187,255,348,2,low,change_order,no,round(hours * rate_usd)
SCA-037,copywriting,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",638,850,1148,8,high,change_order,yes,round(hours * rate_usd)
SCA-038,copywriting,cms_blog,Add a blog / CMS after a static sale,add,6.0,8.0,10.8,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",510,680,918,4,high,change_order,yes,round(hours * rate_usd)
SCA-039,copywriting,auth_login,Add member login / accounts,add,3.0,4.0,5.4,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",255,340,459,2,med,change_order,no,round(hours * rate_usd)
SCA-040,copywriting,extra_language,Second language of all copy,add,5.2,7.0,9.5,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",442,595,808,4,med,change_order,yes,round(hours * rate_usd)
SCA-041,copywriting,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",417,552,748,4,med,change_order,yes,round(hours * rate_usd)
